# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (5.000000e-01 2.500000e-01 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.00496609    	1.695649e-02	8.479163e-03	8.477326e-03	-3.674845e-05	-1.455234e-05	-2.219611e-05	3.821888e-06	9.187113e-07	4.239122e-04	2.556810e-20	4.239122e-04	-4.239122e-04
0.00949525    	2.635820e-02	1.318175e-02	1.317645e-02	-1.060982e-04	-4.949975e-05	-5.659849e-05	3.549369e-06	2.652456e-06	6.589550e-04	2.670947e-20	6.589550e-04	-6.589550e-04
0.0139508     	2.626837e-02	1.313682e-02	1.313156e-02	-1.052117e-04	-4.931877e-05	-5.589295e-05	3.287092e-06	2.630293e-06	6.567094e-04	2.628989e-20	6.567094e-04	-6.567094e-04
0.0183568     	2.620976e-02	1.310757e-02	1.310219e-02	-1.074611e-04	-5.049745e-05	-5.696369e-05	3.233122e-06	2.686529e-06	6.552440e-04	2.582918e-20	6.552440e-04	-6.552440e-04
0.0227254     	2.614086e-02	1.307320e-02	1.306766e-02	-1.108619e-04	-5.223543e-05	-5.862650e-05	3.195535e-06	2.771548e-06	6.535215e-04	2.533830e-20	6.535215e-04	-6.535215e-04
0.0270547     	2.607437e-02	1.304006e-02	1.303431e-02	-1.149784e-04	-5.429481e-05	-6.068355e-05	3.194371e-06	2.874459e-06	6.518592e-04	2.479704e-20	6.518592e-04	-6.518592e-04
0.0313744     	2.596347e-02	1.298472e-02	1.297875e-02	-1.195087e-04	-5.651405e-05	-6.299461e-05	3.240280e-06	2.987716e-06	6.490868e-04	2.418138e-20	6.490868e-04	-6.490868e-04
0.0356075     	2.588161e-02	1.294386e-02	1.293775e-02	-1.222324e-04	-5.783491e-05	-6.439752e-05	3.281305e-06	3.055811e-06	6.470401e-04	2.361590e-20	6.470401e-04	-6.470401e-04
0.0398406     	2.578047e-02	1.289335e-02	1.288712e-02	-1.245347e-04	-5.893697e-05	-6.559777e-05	3.330402e-06	3.113369e-06	6.445117e-04	2.299160e-20	6.445117e-04	-6.445117e-04
0.0440737     	2.566999e-02	1.283821e-02	1.283179e-02	-1.284180e-04	-6.080096e-05	-6.761700e-05	3.408023e-06	3.210449e-06	6.417499e-04	2.235172e-20	6.417499e-04	-6.417499e-04
0.0483068     	2.555005e-02	1.277833e-02	1.277172e-02	-1.323680e-04	-6.269514e-05	-6.967289e-05	3.488875e-06	3.309201e-06	6.387513e-04	2.167423e-20	6.387513e-04	-6.387513e-04
0.052416      	2.536566e-02	1.268620e-02	1.267946e-02	-1.347099e-04	-6.377443e-05	-7.093552e-05	3.580544e-06	3.367749e-06	6.341416e-04	2.092038e-20	6.341416e-04	-6.341416e-04
0.0563973     	2.522972e-02	1.261831e-02	1.261141e-02	-1.380094e-04	-6.532204e-05	-7.268733e-05	3.682641e-06	3.450234e-06	6.307431e-04	2.023322e-20	6.307431e-04	-6.307431e-04
